Gas Tariff ID,LDZ ID,Usage Band Min,Usage Band Max,Earliest Contract Start Date,Latest Contract Start Date,Daily Standing Charge,Monthly Standing Charge,Quarterly Standing Charge,Daily Standing Charge AMR,Monthly Standing Charge AMR,Quarterly Standing Charge AMR,Unit Rate,Pricing Start Date,Pricing End Date,,
a0ba000000GdKld,a0Z30000004RlEJ,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEJ,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,36634,73266,,,0,,,,,,2.9897,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEJ,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,73267,109901,,,0,,,,,,2.6826,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,109902,146535,,,0,,,,,,2.63,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,146536,219803,,,0,,,,,,2.5434,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,219804,293071,,,0,,,,,,2.5349,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDu,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDu,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,36634,73266,,,0,,,,,,3.0139,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDu,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,73267,109901,,,0,,,,,,2.7072,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,109902,146535,,,0,,,,,,2.6546,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,146536,219803,,,0,,,,,,2.568,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,219804,293071,,,0,,,,,,2.5594,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDz,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDz,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,36634,73266,,,0,,,,,,3.0706,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDz,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,73267,109901,,,0,,,,,,2.7638,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,109902,146535,,,0,,,,,,2.7113,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,146536,219803,,,0,,,,,,2.6246,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,219804,293071,,,0,,,,,,2.6164,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE4,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE4,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,36634,73266,,,0,,,,,,3.0887,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE4,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,73267,109901,,,0,,,,,,2.7812,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,109902,146535,,,0,,,,,,2.7283,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,146536,219803,,,0,,,,,,2.6413,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,219804,293071,,,0,,,,,,2.6328,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDf,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDf,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,36634,73266,,,0,,,,,,3.0167,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDf,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,73267,109901,,,0,,,,,,2.7157,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,109902,146535,,,0,,,,,,2.6666,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,146536,219803,,,0,,,,,,2.583,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,219804,293071,,,0,,,,,,2.5751,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDa,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDa,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDa,36634,73266,,,0,,,,,,3.1344,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDa,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
